# 2025-26 Season - Away Team ATS Performance
# Source: https://www.teamrankings.com/ncb/trends/ats_trends/?sc=is_away
"# Data as of February 13, 2026"
Team,ATS_Record,Wins,Losses,Pushes,Cover_Pct,MOV,ATS_Plus_Minus
Portland St,11-1-0,11,1,0,91.7,0.5,+2.9
Georgia Tech,6-1-0,6,1,0,85.7,-7.3,+7.4
Clemson,6-1-0,6,1,0,85.7,6.3,+5.6
San Diego St,6-1-0,6,1,0,85.7,10.6,+5.9
Utah,6-1-0,6,1,0,85.7,-10.0,+3.8
Texas A&M,6-1-0,6,1,0,85.7,-0.4,+3.6
Nebraska,6-1-0,6,1,0,85.7,8.4,+9.2
Florida,6-1-0,6,1,0,85.7,14.9,+9.9
Wisconsin,5-1-0,5,1,0,83.3,0.7,+5.2
Fordham,5-1-1,5,1,1,83.3,-2.4,+7.2
Texas,5-1-0,5,1,0,83.3,-3.2,+4.5
Virginia Tech,5-1-1,5,1,1,83.3,-1.7,+5.8
St John's,5-1-0,5,1,0,83.3,11.2,+5.4
LSU,5-1-0,5,1,0,83.3,-3.7,+2.3
Miami OH,8-2-0,8,2,0,80.0,9.2,+6.4
Denver,11-3-1,11,3,1,78.6,-6.2,+5.2
North Dakota,10-3-0,10,3,0,76.9,-8.3,+3.5
DePaul,6-2-0,6,2,0,75.0,-7.9,+1.8
Duquesne,6-2-0,6,2,0,75.0,-0.9,+3.2
St Bonaventure,6-2-0,6,2,0,75.0,0.9,+1.9
UT Martin,9-3-0,9,3,0,75.0,3.8,+7.5
Seton Hall,6-2-0,6,2,0,75.0,0.8,+2.9
Villanova,6-2-0,6,2,0,75.0,2.6,+3.9
Nevada,6-2-0,6,2,0,75.0,1.0,+3.4
Fresno St,6-2-0,6,2,0,75.0,-4.1,+3.8
Sam Houston,9-3-0,9,3,0,75.0,-0.7,+5.3
Duke,6-3-0,6,3,0,66.7,16.4,+3.9
Houston,4-2-0,4,2,0,66.7,9.8,+4.4
Manhattan,2-9-1,2,9,1,18.2,-17.3,-7.3
Niagara,6-8-0,6,8,0,42.9,-13.7,-2.2
McNeese,1-8-1,1,8,1,11.1,-2.8,0.0
