Rank,Teams,G,BB
-,Cincinnati,9,49
49,Charlotte,8,49
-,Georgetown,8,50
-,Jacksonville,9,50
-,Kansas St.,9,50
-,Texas,8,50
-,Tulane,9,50
-,UNCW,9,50
-,UTSA,8,50
41,Austin Peay,8,50
-,La Salle,7,51
-,USC Upstate,10,51
-,Western Ky.,9,51
37,Jackson St.,9,51
-,New Orleans,9,52
35,Kansas,8,52
-,Georgia,8,53
-,Long Beach St.,8,53
32,ETSU,8,53
-,Charleston So.,8,54
30,Baylor,8,54
-,Mississippi St.,9,55
-,UNLV,9,55
27,High Point,9,55
-,Georgia St.,9,56
-,Grambling,8,56
-,Texas A&M,8,56
23,Duke,10,56
-,FIU,10,57
-,Wofford,8,57
20,Alabama,9,57
19,VMI,8,58
18,Missouri,9,59
-,Vanderbilt,9,60
-,Virginia Tech,8,60
15,Longwood,8,60
14,Wake Forest,8,62
-,Mercer,9,64
-,Ole Miss,9,64
11,LSU,9,64
10,Texas Tech,8,65
9,Pittsburgh,7,66
8,Virginia,8,67
7,UIW,9,68
6,New Mexico,8,70
-,Miami (OH),8,71
4,Miami (FL),10,71
3,SFA,10,73
2,Oklahoma,9,78
1,Georgia Tech,9,79
-,Coastal Carolina,8,49
-,Grand Canyon,9,49
-,Memphis,8,49
-,North Carolina,10,49
55,UAB,9,48
56,Akron,9,47
-,NC State,8,47
-,Northwestern,7,47
-,Southern Miss.,8,47
60,Middle Tenn.,8,46
-,North Ala.,9,46
-,Ohio,8,46
-,UTRGV,8,46
64,DBU,8,45
-,FGCU,9,45
-,Florida,10,45
-,Houston,8,45
-,Jacksonville St.,9,45
-,Louisiana Tech,9,45
-,South Fla.,9,45
-,TCU,8,45
-,Texas St.,8,45
-,Winthrop,8,45
74,App State,8,44
-,Arizona St.,9,44
-,Elon,8,44
-,UC San Diego,7,44
-,UConn,8,44
-,ULM,10,44
80,Indiana,8,43
-,Iowa,8,43
-,LMU (CA),9,43
-,New Mexico St.,8,43
-,Nicholls,10,43
-,North Florida,9,43
-,Radford,7,43
-,San Diego,8,43
-,South Dakota St.,8,43
-,Tarleton St.,8,43
90,Bradley,7,42
-,Houston Christian,9,42
-,Mount St. Mary's,7,42
-,Northern Ky.,8,42
-,Northwestern St.,9,42
-,Saint Louis,9,42
-,UCF,7,42
-,Utah Tech,8,42
-,Washington,8,42
99,California Baptist,9,41
-,Clemson,8,41
-,James Madison,7,41
-,Kent St.,8,41
-,Lamar University,9,41
-,Maryland,8,41
-,Southeast Mo. St.,9,41
-,UCLA,8,41
-,UNC Greensboro,9,41
108,Arkansas,9,40
-,North Dakota St.,8,40
-,Omaha,6,40
-,Oregon,8,40
-,Sam Houston,8,40
-,South Alabama,9,40
-,Tennessee,8,40
-,Texas Southern,6,40
-,Valparaiso,7,40
117,Abilene Christian,8,39
-,Alabama St.,8,39
-,CSU Bakersfield,9,39
-,Eastern Mich.,8,39
-,Maine,9,39
-,Stetson,9,39
-,Towson,6,39
-,Troy,8,39
-,Western Ill.,7,39
-,Wichita St.,8,39
127,Liberty,7,38
-,Minnesota,7,38
-,Missouri St.,8,38
-,Murray St.,8,38
-,Sacramento St.,8,38
-,South Carolina,9,38
-,Tennessee Tech,9,38
-,UC Irvine,9,38
-,Wagner,6,38
-,West Virginia,7,38
137,A&M-Corpus Christi,9,37
-,Arkansas St.,9,37
-,Bethune-Cookman,8,37
-,Central Ark.,9,37
-,Central Mich.,7,37
-,Gardner-Webb,9,37
-,Little Rock,8,37
-,Oklahoma St.,8,37
-,UNC Asheville,8,37
146,Dayton,7,36
-,Delaware,9,36
-,Holy Cross,7,36
-,Ohio St.,7,36
-,San Francisco,7,36
-,VCU,8,30
202,Fla. Atlantic,8,29
-,Marist,6,29
-,Portland,7,29
205,Binghamton,6,28
-,Delaware St.,7,28
-,Lindenwood,8,28
-,Lipscomb,7,28
-,Navy,7,28
-,Nebraska,7,28
-,Southern U.,8,28
-,St. Bonaventure,7,28
-,Toledo,7,28
-,UC Santa Barbara,7,28
215,Alcorn,8,27
-,Belmont,8,27
-,Campbell,8,27
-,Creighton,6,27
-,Monmouth,6,27
-,Prairie View,7,27
-,Rhode Island,7,27
-,Seattle U,8,27
-,Southern Ill.,7,27
224,Michigan,7,26
-,Queens (NC),8,26
-,UC Riverside,8,26
-,Utah,6,26
228,Arizona,8,25
-,Cal Poly,7,25
-,Davidson,7,25
-,Eastern Ill.,7,25
-,Evansville,7,25
-,McNeese,8,25
-,Morehead St.,8,25
-,San Diego St.,8,25
-,UIC,7,25
-,UMES,6,25
238,Penn St.,6,24
-,Stonehill,7,24
-,Stony Brook,7,24
241,California,8,23
-,Hawaii,8,23
-,Notre Dame,6,23
-,St. Thomas (MN),7,23
-,UMass Lowell,6,23
-,William & Mary,6,23
-,Youngstown St.,7,23
248,Canisius,6,22
-,Florida A&M,8,22
-,George Mason,7,22
