rank,team,abbreviation,rating,win_pct,home_win_pct,away_win_pct
1,Minnesota Lynx,MIN,8.5,0.680,0.750,0.610
2,Las Vegas Aces,LVA,7.8,0.667,0.733,0.600
3,Golden State Valkyries,GSV,6.2,0.600,0.667,0.533
4,Dallas Wings,DAL,4.9,0.560,0.625,0.495
5,Atlanta Dream,ATL,3.7,0.533,0.600,0.467
6,Indiana Fever,IND,2.9,0.520,0.583,0.457
7,New York Liberty,NYL,1.8,0.507,0.567,0.447
8,Washington Mystics,WSH,-0.5,0.480,0.533,0.427
9,Los Angeles Sparks,LAS,-1.9,0.453,0.500,0.407
10,Phoenix Mercury,PHO,-3.2,0.440,0.483,0.397
11,Chicago Sky,CHI,-4.8,0.413,0.450,0.377
12,Connecticut Sun,CON,-5.6,0.400,0.433,0.367
13,Seattle Storm,SEA,-6.3,0.387,0.417,0.357
14,Toronto Tempo,TOR,-8.1,0.333,0.367,0.300
15,Portland Fire,POR,-9.4,0.300,0.333,0.267
