Rank,Team,G,DP
1,Jackson St.,9,12
2,Baylor,8,11
-,Central Ark.,9,11
-,Florida,10,11
-,Gardner-Webb,9,11
-,High Point,9,11
-,Louisiana Tech,9,11
8,Fla. Atlantic,8,10
-,Georgia St.,9,10
-,Maine,9,10
-,Tarleton St.,8,10
-,Wright St.,7,10
13,Army West Point,6,9
-,Cal St. Fullerton,8,9
-,California Baptist,9,9
-,Charlotte,8,9
-,Duke,10,9
-,LMU (CA),9,9
-,Louisville,8,9
-,North Carolina,10,9
-,Southeast Mo. St.,9,9
-,UAB,9,9
-,UIW,9,9
-,UT Arlington,8,9
-,Vanderbilt,9,9
26,Arizona St.,9,8
-,Austin Peay,8,8
-,Butler,8,8
-,Canisius,6,8
-,Creighton,6,8
-,East Carolina,9,8
-,Illinois St.,8,8
-,Indiana,8,8
-,Jacksonville,9,8
-,Jacksonville St.,9,8
-,Long Beach St.,8,8
-,New Mexico St.,8,8
-,New Orleans,9,8
-,SIUE,8,8
-,South Carolina,9,8
-,Southeastern La.,8,8
-,UNC Greensboro,9,8
43,Akron,9,7
-,Arkansas St.,9,7
-,Coastal Carolina,8,7
-,Delaware,9,7
-,Eastern Ill.,7,7
-,Houston Christian,9,7
-,Longwood,8,7
-,Memphis,8,7
-,Nebraska,7,7
-,Nicholls,10,7
-,Oakland,7,7
-,Oral Roberts,8,7
-,Rice,9,7
-,Saint Mary's (CA),7,7
-,Tennessee Tech,9,7
-,Texas,8,7
-,Texas St.,8,7
-,Troy,8,7
-,ULM,10,7
-,USC Upstate,10,7
-,UTRGV,8,7
-,Utah Tech,8,7
65,Alabama,9,6
-,Ark.-Pine Bluff,10,6
-,Bethune-Cookman,8,6
-,Bowling Green,7,6
-,CSU Bakersfield,9,6
-,Col. of Charleston,9,6
-,DBU,8,6
-,Dayton,7,6
-,Fresno St.,7,6
-,George Washington,7,6
-,Georgia,8,6
-,Grand Canyon,9,6
-,Hawaii,8,6
-,Kennesaw St.,7,6
-,Liberty,7,6
-,Michigan,7,6
-,Middle Tenn.,8,6
-,Missouri St.,8,6
-,North Ala.,9,6
-,Oregon,8,6
-,Pepperdine,7,6
-,Pittsburgh,7,6
-,Portland,7,6
-,San Jose St.,7,6
-,Santa Clara,8,6
-,Seattle U,8,6
-,St. John's (NY),7,6
-,UAlbany,4,6
-,UC Irvine,9,6
-,UCF,7,6
-,Valparaiso,7,6
-,Western Mich.,8,6
-,Youngstown St.,7,6
98,A&M-Corpus Christi,9,5
-,Air Force,7,5
-,Alabama A&M,8,5
