Team,ATS_Wins,ATS_Losses,ATS_Pushes,Home_Record,Away_Record,Favorite_Record,Underdog_Record,Conference
Houston,21,8,1,14-1-0,7-7-1,18-2-1,3-6-0,Big 12
Purdue,20,9,1,13-2-0,7-7-1,17-3-1,3-6-0,Big Ten
Gonzaga,20,10,0,13-2-0,7-8-0,16-4-0,4-6-0,WCC
Arizona,19,10,1,12-3-1,7-7-0,15-5-0,4-5-1,Pac-12
Kansas,19,11,0,12-3-0,7-8-0,14-6-0,5-5-0,Big 12
UCLA,18,11,1,10-5-0,8-6-1,14-6-1,4-5-0,Pac-12
Tennessee,18,11,1,11-4-0,7-7-1,14-6-1,4-5-0,SEC
Duke,18,12,1,10-5-0,8-7-1,12-8-1,6-4-0,ACC
Texas,17,12,1,11-4-0,6-8-1,13-7-1,4-5-0,Big 12
Baylor,17,12,1,10-5-0,7-7-1,13-7-0,4-5-1,Big 12
Kentucky,17,13,0,11-4-0,6-9-0,13-7-0,4-6-0,SEC
Michigan State,16,13,1,10-5-1,6-8-0,12-8-0,4-5-1,Big Ten
Alabama,16,13,1,9-6-1,7-7-0,12-8-0,4-5-1,SEC
UNC,16,14,0,9-6-0,7-8-0,10-9-0,6-5-0,ACC
Villanova,15,15,0,8-7-0,7-8-0,11-9-0,4-6-0,Big East
