# 2025-26 Season Team Statistics Template
Team,Conference,OffEff,DefEff,Tempo,Wins,Losses,eFG,TOPct,ORBPct,FTRate
Houston,Big 12,119.5,93.1,66.8,24,4,0.545,0.165,0.320,0.340
Purdue,Big Ten,120.2,94.5,67.5,25,3,0.550,0.160,0.315,0.345
Gonzaga,WCC,121.5,92.8,73.5,25,3,0.555,0.155,0.325,0.350
UConn,Big East,119.8,93.5,68.2,24,4,0.548,0.158,0.318,0.342
Duke,ACC,118.5,95.2,72.0,22,6,0.520,0.165,0.320,0.340
Kansas,Big 12,117.8,94.8,71.2,23,5,0.538,0.162,0.322,0.338
Arizona,Pac-12,118.2,95.8,70.9,23,5,0.542,0.160,0.318,0.335
Tennessee,SEC,115.8,94.2,68.5,22,6,0.535,0.168,0.315,0.330
Kentucky,SEC,116.2,96.5,70.8,21,7,0.530,0.170,0.312,0.328
Baylor,Big 12,114.2,96.5,68.9,21,7,0.525,0.172,0.310,0.332
Virginia,ACC,110.2,92.5,62.3,21,7,0.515,0.165,0.308,0.325
Alabama,SEC,117.1,98.3,73.2,19,9,0.528,0.175,0.320,0.335
Texas,Big 12,116.1,97.3,69.5,20,8,0.532,0.168,0.318,0.330
Illinois,Big Ten,114.8,96.2,71.8,19,9,0.522,0.170,0.315,0.328
UCLA,Pac-12,115.5,97.2,69.3,20,8,0.525,0.172,0.312,0.325
Wisconsin,Big Ten,111.2,95.1,63.2,20,8,0.518,0.165,0.305,0.322
Auburn,SEC,114.3,96.8,71.5,20,8,0.520,0.175,0.318,0.328
Creighton,Big East,114.2,96.8,72.5,20,8,0.522,0.168,0.315,0.330
UNC,ACC,115.3,98.1,74.5,20,8,0.528,0.178,0.320,0.332
San Diego State,Mountain West,108.5,93.2,62.1,22,6,0.510,0.160,0.300,0.318
Marquette,Big East,113.8,97.5,70.8,19,9,0.520,0.172,0.312,0.325
Michigan State,Big Ten,113.5,97.8,70.3,18,10,0.515,0.175,0.310,0.322
Saint Mary's,WCC,110.5,97.2,65.8,21,7,0.518,0.165,0.305,0.320
USC,Pac-12,112.8,99.1,71.2,18,10,0.512,0.178,0.308,0.318
Miami,ACC,112.8,99.3,70.1,19,9,0.515,0.175,0.310,0.320
Nevada,Mountain West,111.2,99.5,71.3,18,10,0.510,0.180,0.305,0.315
